presentation_id,sample_a_arm,sample_b_arm
greeting-01,retell_native_clone,current_retell_baseline
greeting-02,retell_native_clone,current_retell_baseline
greeting-03,retell_native_clone,current_retell_baseline
greeting-04,retell_native_clone,current_retell_baseline
greeting-05,current_retell_baseline,retell_native_clone
greeting-06,retell_native_clone,current_retell_baseline
greeting-07,current_retell_baseline,retell_native_clone
greeting-08,retell_native_clone,current_retell_baseline
greeting-09,retell_native_clone,current_retell_baseline
greeting-10,current_retell_baseline,retell_native_clone
simple_faq-01,current_retell_baseline,retell_native_clone
simple_faq-02,current_retell_baseline,retell_native_clone
simple_faq-03,retell_native_clone,current_retell_baseline
simple_faq-04,retell_native_clone,current_retell_baseline
simple_faq-05,current_retell_baseline,retell_native_clone
simple_faq-06,current_retell_baseline,retell_native_clone
simple_faq-07,current_retell_baseline,retell_native_clone
simple_faq-08,retell_native_clone,current_retell_baseline
simple_faq-09,retell_native_clone,current_retell_baseline
simple_faq-10,current_retell_baseline,retell_native_clone
menu_clarification-01,current_retell_baseline,retell_native_clone
menu_clarification-02,retell_native_clone,current_retell_baseline
menu_clarification-03,current_retell_baseline,retell_native_clone
menu_clarification-04,retell_native_clone,current_retell_baseline
menu_clarification-05,current_retell_baseline,retell_native_clone
menu_clarification-06,current_retell_baseline,retell_native_clone
menu_clarification-07,retell_native_clone,current_retell_baseline
menu_clarification-08,retell_native_clone,current_retell_baseline
menu_clarification-09,retell_native_clone,current_retell_baseline
menu_clarification-10,retell_native_clone,current_retell_baseline
allergy_question-01,retell_native_clone,current_retell_baseline
allergy_question-02,current_retell_baseline,retell_native_clone
allergy_question-03,current_retell_baseline,retell_native_clone
allergy_question-04,current_retell_baseline,retell_native_clone
allergy_question-05,retell_native_clone,current_retell_baseline
allergy_question-06,retell_native_clone,current_retell_baseline
allergy_question-07,retell_native_clone,current_retell_baseline
allergy_question-08,retell_native_clone,current_retell_baseline
allergy_question-09,retell_native_clone,current_retell_baseline
allergy_question-10,retell_native_clone,current_retell_baseline
reservation_availability-01,retell_native_clone,current_retell_baseline
reservation_availability-02,current_retell_baseline,retell_native_clone
reservation_availability-03,retell_native_clone,current_retell_baseline
reservation_availability-04,current_retell_baseline,retell_native_clone
reservation_availability-05,current_retell_baseline,retell_native_clone
reservation_availability-06,current_retell_baseline,retell_native_clone
reservation_availability-07,retell_native_clone,current_retell_baseline
reservation_availability-08,retell_native_clone,current_retell_baseline
reservation_availability-09,retell_native_clone,current_retell_baseline
reservation_availability-10,current_retell_baseline,retell_native_clone
order_correction-01,current_retell_baseline,retell_native_clone
order_correction-02,current_retell_baseline,retell_native_clone
order_correction-03,current_retell_baseline,retell_native_clone
order_correction-04,retell_native_clone,current_retell_baseline
order_correction-05,current_retell_baseline,retell_native_clone
order_correction-06,retell_native_clone,current_retell_baseline
order_correction-07,current_retell_baseline,retell_native_clone
order_correction-08,retell_native_clone,current_retell_baseline
order_correction-09,current_retell_baseline,retell_native_clone
order_correction-10,retell_native_clone,current_retell_baseline
frustration-01,current_retell_baseline,retell_native_clone
frustration-02,retell_native_clone,current_retell_baseline
frustration-03,current_retell_baseline,retell_native_clone
frustration-04,current_retell_baseline,retell_native_clone
frustration-05,retell_native_clone,current_retell_baseline
frustration-06,retell_native_clone,current_retell_baseline
frustration-07,retell_native_clone,current_retell_baseline
frustration-08,retell_native_clone,current_retell_baseline
frustration-09,current_retell_baseline,retell_native_clone
frustration-10,current_retell_baseline,retell_native_clone
interruption-01,retell_native_clone,current_retell_baseline
interruption-02,current_retell_baseline,retell_native_clone
interruption-03,retell_native_clone,current_retell_baseline
interruption-04,current_retell_baseline,retell_native_clone
interruption-05,current_retell_baseline,retell_native_clone
interruption-06,current_retell_baseline,retell_native_clone
interruption-07,retell_native_clone,current_retell_baseline
interruption-08,retell_native_clone,current_retell_baseline
interruption-09,current_retell_baseline,retell_native_clone
interruption-10,current_retell_baseline,retell_native_clone
silence_incomplete_input-01,retell_native_clone,current_retell_baseline
silence_incomplete_input-02,current_retell_baseline,retell_native_clone
silence_incomplete_input-03,retell_native_clone,current_retell_baseline
silence_incomplete_input-04,retell_native_clone,current_retell_baseline
silence_incomplete_input-05,retell_native_clone,current_retell_baseline
silence_incomplete_input-06,current_retell_baseline,retell_native_clone
silence_incomplete_input-07,retell_native_clone,current_retell_baseline
silence_incomplete_input-08,retell_native_clone,current_retell_baseline
silence_incomplete_input-09,current_retell_baseline,retell_native_clone
silence_incomplete_input-10,retell_native_clone,current_retell_baseline
unknown_request-01,current_retell_baseline,retell_native_clone
unknown_request-02,retell_native_clone,current_retell_baseline
unknown_request-03,current_retell_baseline,retell_native_clone
unknown_request-04,retell_native_clone,current_retell_baseline
unknown_request-05,retell_native_clone,current_retell_baseline
unknown_request-06,current_retell_baseline,retell_native_clone
unknown_request-07,current_retell_baseline,retell_native_clone
unknown_request-08,current_retell_baseline,retell_native_clone
unknown_request-09,current_retell_baseline,retell_native_clone
unknown_request-10,current_retell_baseline,retell_native_clone
transfer_unavailable-01,retell_native_clone,current_retell_baseline
transfer_unavailable-02,retell_native_clone,current_retell_baseline
transfer_unavailable-03,current_retell_baseline,retell_native_clone
transfer_unavailable-04,current_retell_baseline,retell_native_clone
transfer_unavailable-05,current_retell_baseline,retell_native_clone
transfer_unavailable-06,current_retell_baseline,retell_native_clone
transfer_unavailable-07,retell_native_clone,current_retell_baseline
transfer_unavailable-08,retell_native_clone,current_retell_baseline
transfer_unavailable-09,retell_native_clone,current_retell_baseline
transfer_unavailable-10,retell_native_clone,current_retell_baseline
personal_identity-01,retell_native_clone,current_retell_baseline
personal_identity-02,current_retell_baseline,retell_native_clone
personal_identity-03,retell_native_clone,current_retell_baseline
personal_identity-04,current_retell_baseline,retell_native_clone
personal_identity-05,current_retell_baseline,retell_native_clone
personal_identity-06,retell_native_clone,current_retell_baseline
personal_identity-07,current_retell_baseline,retell_native_clone
personal_identity-08,current_retell_baseline,retell_native_clone
personal_identity-09,current_retell_baseline,retell_native_clone
personal_identity-10,retell_native_clone,current_retell_baseline
